Координаты: (1342.5, 1582.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (914.5, 1579.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1321.0, 1576.5); Яркость: 1526; Размер: 6; Тип: планета
Координаты: (1346.5, 1575.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1366.0, 1575.5); Яркость: 11056; Размер: 56; Тип: звезда
Координаты: (1340.5, 1571.0); Яркость: 1309; Размер: 6; Тип: планета
Координаты: (1355.0, 1567.5); Яркость: 3036; Размер: 12; Тип: планета
Координаты: (1335.0, 1567.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1308.5, 1566.5); Яркость: 10541; Размер: 49; Тип: звезда
Координаты: (1298.5, 1561.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1314.0, 1561.0); Яркость: 1000; Размер: 4; Тип: планета
Координаты: (25.0, 1560.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1465.0, 1558.0); Яркость: 1011; Размер: 4; Тип: планета
Координаты: (1391.0, 1557.5); Яркость: 3030; Размер: 12; Тип: планета
Координаты: (1363.0, 1552.0); Яркость: 1009; Размер: 4; Тип: планета
Координаты: (975.0, 1549.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1317.0, 1547.0); Яркость: 984; Размер: 4; Тип: планета
Координаты: (1589.0, 1542.5); Яркость: 504; Размер: 2; Тип: планета
Координаты: (1133.5, 1535.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1465.5, 1533.5); Яркость: 2203; Размер: 9; Тип: планета
Координаты: (1345.5, 1530.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (1132.0, 1529.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (44.5, 1529.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (820.5, 1517.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1318.0, 1514.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1104.5, 1512.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1344.5, 1512.5); Яркость: 3803; Размер: 15; Тип: планета
Координаты: (1122.0, 1511.0); Яркость: 1010; Размер: 4; Тип: планета
Координаты: (1453.0, 1505.0); Яркость: 5808; Размер: 24; Тип: звезда
Координаты: (1071.5, 1501.5); Яркость: 247; Размер: 1; Тип: планета
Координаты: (1411.5, 1493.5); Яркость: 2279; Размер: 9; Тип: планета
Координаты: (1842.0, 1484.5); Яркость: 7151; Размер: 30; Тип: звезда
Координаты: (1479.0, 1480.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1466.5, 1475.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1270.5, 1475.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (15.0, 1470.5); Яркость: 507; Размер: 2; Тип: планета
Координаты: (1223.0, 1459.0); Яркость: 1894; Размер: 8; Тип: планета
Координаты: (1583.5, 1451.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (1243.5, 1451.5); Яркость: 2285; Размер: 9; Тип: планета
Координаты: (361.0, 1448.0); Яркость: 1020; Размер: 4; Тип: планета
