Координаты: (1173.0, 1589.5); Яркость: 2646; Размер: 12; Тип: планета
Координаты: (397.0, 1540.0); Яркость: 959; Размер: 4; Тип: планета
Координаты: (1340.5, 1510.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1260.0, 1509.0); Яркость: 2015; Размер: 8; Тип: планета
Координаты: (679.0, 1482.5); Яркость: 4567; Размер: 20; Тип: звезда
Координаты: (740.5, 1472.5); Яркость: 243; Размер: 1; Тип: планета
Координаты: (1186.0, 1465.0); Яркость: 924; Размер: 4; Тип: планета
Координаты: (500.5, 1458.5); Яркость: 231; Размер: 1; Тип: планета
Координаты: (101.0, 1450.5); Яркость: 1390; Размер: 6; Тип: планета
Координаты: (1538.5, 1435.0); Яркость: 493; Размер: 2; Тип: планета
Координаты: (700.0, 1427.0); Яркость: 3719; Размер: 16; Тип: планета
Координаты: (369.0, 1419.0); Яркость: 931; Размер: 4; Тип: планета
Координаты: (1122.0, 1405.5); Яркость: 2720; Размер: 12; Тип: планета
Координаты: (581.5, 1398.5); Яркость: 210; Размер: 1; Тип: планета
Координаты: (636.5, 1396.0); Яркость: 422; Размер: 2; Тип: планета
Координаты: (703.0, 1392.0); Яркость: 843; Размер: 4; Тип: планета
Координаты: (395.0, 1391.5); Яркость: 440; Размер: 2; Тип: планета
Координаты: (635.0, 1391.0); Яркость: 848; Размер: 4; Тип: планета
Координаты: (375.0, 1391.0); Яркость: 831; Размер: 4; Тип: планета
Координаты: (656.5, 1388.5); Яркость: 2995; Размер: 15; Тип: планета
Координаты: (549.5, 1387.5); Яркость: 227; Размер: 1; Тип: планета
Координаты: (665.5, 1388.0); Яркость: 2501; Размер: 12; Тип: планета
Координаты: (651.5, 1386.0); Яркость: 434; Размер: 2; Тип: планета
Координаты: (640.0, 1386.0); Яркость: 808; Размер: 4; Тип: планета
Координаты: (392.5, 1384.5); Яркость: 1885; Размер: 9; Тип: планета
Координаты: (655.0, 1383.0); Яркость: 837; Размер: 4; Тип: планета
Координаты: (633.0, 1383.0); Яркость: 837; Размер: 4; Тип: планета
Координаты: (423.5, 1383.0); Яркость: 433; Размер: 2; Тип: планета
Координаты: (649.5, 1380.5); Яркость: 234; Размер: 1; Тип: планета
Координаты: (643.5, 1381.5); Яркость: 3016; Размер: 15; Тип: планета
Координаты: (669.0, 1381.5); Яркость: 3981; Размер: 20; Тип: планета
Координаты: (661.5, 1379.5); Яркость: 214; Размер: 1; Тип: планета
Координаты: (619.5, 1380.5); Яркость: 1852; Размер: 9; Тип: планета
Координаты: (567.0, 1380.0); Яркость: 837; Размер: 4; Тип: планета
Координаты: (557.0, 1380.0); Яркость: 836; Размер: 4; Тип: планета
Координаты: (424.5, 1378.0); Яркость: 421; Размер: 2; Тип: планета
Координаты: (633.0, 1377.5); Яркость: 1241; Размер: 6; Тип: планета
Координаты: (570.5, 1377.0); Яркость: 429; Размер: 2; Тип: планета
Координаты: (431.5, 1376.5); Яркость: 207; Размер: 1; Тип: планета
Координаты: (659.5, 1376.5); Яркость: 1849; Размер: 9; Тип: планета
Координаты: (654.5, 1377.5); Яркость: 5046; Размер: 25; Тип: планета
Координаты: (565.0, 1375.0); Яркость: 844; Размер: 4; Тип: планета
Координаты: (666.0, 1374.5); Яркость: 2415; Размер: 12; Тип: планета
Координаты: (608.0, 1374.5); Яркость: 1239; Размер: 6; Тип: планета
Координаты: (714.0, 1373.0); Яркость: 862; Размер: 4; Тип: планета
Координаты: (658.5, 1373.0); Яркость: 429; Размер: 2; Тип: планета
Координаты: (622.5, 1373.5); Яркость: 3053; Размер: 15; Тип: планета
Координаты: (572.0, 1372.5); Яркость: 404; Размер: 2; Тип: планета
Координаты: (238.0, 1372.5); Яркость: 434; Размер: 2; Тип: планета
Координаты: (645.5, 1374.0); Яркость: 6081; Размер: 30; Тип: звезда
Координаты: (627.0, 1373.0); Яркость: 3234; Размер: 16; Тип: планета
Координаты: (246.0, 1372.0); Яркость: 834; Размер: 4; Тип: планета
Координаты: (653.5, 1371.5); Яркость: 1819; Размер: 9; Тип: планета
Координаты: (725.0, 1369.5); Яркость: 445; Размер: 2; Тип: планета
