Координаты: (1948.5, 1591.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (300.0, 1591.0); Яркость: 2040; Размер: 8; Тип: планета
Координаты: (537.5, 1589.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2045.5, 1578.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (681.0, 1574.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (372.0, 1566.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (131.0, 1561.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1838.0, 1560.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1685.0, 1561.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (111.0, 1561.0); Яркость: 989; Размер: 4; Тип: планета
Координаты: (173.5, 1560.5); Яркость: 2239; Размер: 9; Тип: планета
Координаты: (557.0, 1557.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (4.5, 1551.5); Яркость: 2254; Размер: 9; Тип: планета
Координаты: (2265.0, 1550.5); Яркость: 1526; Размер: 6; Тип: планета
Координаты: (2142.5, 1546.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2114.5, 1547.5); Яркость: 6114; Размер: 25; Тип: звезда
Координаты: (585.5, 1544.5); Яркость: 239; Размер: 1; Тип: планета
Координаты: (2067.0, 1545.5); Яркость: 6598; Размер: 30; Тип: звезда
Координаты: (407.5, 1541.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1631.0, 1541.5); Яркость: 1529; Размер: 6; Тип: планета
Координаты: (236.5, 1535.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1182.5, 1534.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (634.5, 1533.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1986.0, 1535.0); Яркость: 8251; Размер: 36; Тип: звезда
Координаты: (739.5, 1530.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (541.5, 1530.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (411.5, 1529.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2221.0, 1528.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (181.0, 1530.5); Яркость: 7034; Размер: 30; Тип: звезда
Координаты: (2257.5, 1527.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (376.0, 1527.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (249.5, 1526.5); Яркость: 2216; Размер: 9; Тип: планета
Координаты: (190.0, 1526.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (433.0, 1521.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (95.5, 1520.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (495.5, 1518.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (559.5, 1515.5); Яркость: 5751; Размер: 25; Тип: звезда
Координаты: (554.5, 1513.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1287.0, 1511.0); Яркость: 1010; Размер: 4; Тип: планета
Координаты: (588.0, 1510.0); Яркость: 1011; Размер: 4; Тип: планета
Координаты: (476.0, 1517.0); Яркость: 41449; Размер: 192; Тип: звезда
Координаты: (368.5, 1510.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (506.0, 1507.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (481.5, 1507.0); Яркость: 1470; Размер: 6; Тип: планета
Координаты: (144.5, 1504.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (388.0, 1501.5); Яркость: 506; Размер: 2; Тип: планета
