Координаты: (511.5, 1320.0); Яркость: 3460; Размер: 14; Тип: планета
Координаты: (2115.0, 1282.5); Яркость: 2982; Размер: 12; Тип: планета
Координаты: (337.0, 1102.0); Яркость: 14702; Размер: 64; Тип: звезда
Координаты: (272.5, 1035.5); Яркость: 250; Размер: 1; Тип: планета
Координаты: (242.5, 765.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (816.5, 744.0); Яркость: 3028; Размер: 12; Тип: планета
Координаты: (101.0, 712.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (257.5, 631.5); Яркость: 2250; Размер: 9; Тип: планета
Координаты: (75.5, 616.0); Яркость: 4932; Размер: 20; Тип: планета
Координаты: (235.0, 612.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (251.5, 581.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1471.5, 538.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1359.5, 513.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (94.0, 505.0); Яркость: 994; Размер: 4; Тип: планета
Координаты: (1522.5, 485.5); Яркость: 5951; Размер: 25; Тип: звезда
Координаты: (481.5, 480.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (283.5, 451.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2047.0, 429.5); Яркость: 476; Размер: 2; Тип: планета
Координаты: (17.0, 427.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (470.0, 412.5); Яркость: 494; Размер: 2; Тип: планета
Координаты: (2031.5, 428.5); Яркость: 159160; Размер: 875; Тип: звезда
Координаты: (2032.5, 406.5); Яркость: 248; Размер: 1; Тип: планета
Координаты: (1982.5, 401.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1036.5, 401.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (756.0, 398.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (130.0, 380.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1248.0, 375.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (493.5, 371.0); Яркость: 1521; Размер: 6; Тип: планета
Координаты: (726.0, 370.0); Яркость: 3820; Размер: 16; Тип: планета
