Координаты: (342.5, 1589.0); Яркость: 1449; Размер: 6; Тип: планета
Координаты: (357.5, 1588.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (301.5, 1585.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (467.5, 1584.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (485.5, 1582.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (346.5, 1581.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (293.5, 1582.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (360.0, 1579.0); Яркость: 1008; Размер: 4; Тип: планета
Координаты: (318.0, 1579.0); Яркость: 4007; Размер: 16; Тип: планета
Координаты: (348.0, 1575.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (362.0, 1573.0); Яркость: 3668; Размер: 16; Тип: планета
Координаты: (355.0, 1571.5); Яркость: 4943; Размер: 20; Тип: планета
Координаты: (508.5, 1568.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (26.0, 1569.5); Яркость: 2906; Размер: 12; Тип: планета
Координаты: (370.5, 1564.0); Яркость: 1413; Размер: 6; Тип: планета
Координаты: (376.0, 1563.5); Яркость: 1501; Размер: 6; Тип: планета
Координаты: (370.5, 1556.5); Яркость: 691; Размер: 3; Тип: планета
Координаты: (337.5, 1557.0); Яркость: 507; Размер: 2; Тип: планета
Координаты: (490.5, 1556.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (359.0, 1556.0); Яркость: 3891; Размер: 16; Тип: планета
Координаты: (436.5, 1548.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (334.5, 1547.0); Яркость: 502; Размер: 2; Тип: планета
Координаты: (296.0, 1546.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (503.0, 1545.0); Яркость: 1006; Размер: 4; Тип: планета
Координаты: (342.0, 1545.0); Яркость: 997; Размер: 4; Тип: планета
Координаты: (408.5, 1544.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (373.5, 1545.0); Яркость: 3024; Размер: 12; Тип: планета
Координаты: (396.5, 1542.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (335.0, 1543.0); Яркость: 902; Размер: 4; Тип: планета
Координаты: (442.5, 1543.0); Яркость: 2885; Размер: 12; Тип: планета
Координаты: (327.5, 1542.5); Яркость: 3670; Размер: 15; Тип: планета
Координаты: (324.5, 1539.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (433.0, 1537.0); Яркость: 1013; Размер: 4; Тип: планета
Координаты: (335.5, 1538.0); Яркость: 11597; Размер: 54; Тип: звезда
Координаты: (311.0, 1535.5); Яркость: 510; Размер: 2; Тип: планета
