Координаты: (172.5, 1591.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (152.0, 1569.0); Яркость: 2040; Размер: 8; Тип: планета
Координаты: (86.5, 1563.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (18.0, 1558.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (36.5, 1543.0); Яркость: 509; Размер: 2; Тип: планета
Координаты: (261.5, 1535.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (43.5, 1531.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (81.5, 1514.0); Яркость: 1513; Размер: 6; Тип: планета
Координаты: (471.5, 1511.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (44.0, 1510.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (212.0, 1503.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (107.0, 1501.0); Яркость: 3977; Размер: 16; Тип: планета
Координаты: (1835.0, 1498.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (717.0, 1498.0); Яркость: 3978; Размер: 16; Тип: планета
Координаты: (36.5, 1489.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (160.5, 1434.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (5.0, 1432.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (176.0, 1425.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (244.0, 1420.5); Яркость: 1513; Размер: 6; Тип: планета
Координаты: (218.5, 1419.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (504.5, 1417.5); Яркость: 5946; Размер: 25; Тип: звезда
Координаты: (45.5, 1390.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (111.5, 1387.5); Яркость: 2225; Размер: 9; Тип: планета
Координаты: (54.5, 1386.0); Яркость: 2959; Размер: 12; Тип: планета
Координаты: (215.5, 1383.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (17.5, 1381.5); Яркость: 2289; Размер: 9; Тип: планета
Координаты: (144.0, 1367.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (33.5, 1361.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (71.5, 1349.5); Яркость: 2268; Размер: 9; Тип: планета
Координаты: (651.0, 1346.0); Яркость: 1019; Размер: 4; Тип: планета
Координаты: (921.0, 1344.5); Яркость: 1500; Размер: 6; Тип: планета
Координаты: (31.5, 1333.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2.5, 1331.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (30.5, 1297.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (185.5, 1293.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (272.5, 1288.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (523.5, 1285.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (282.5, 1280.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (134.0, 1278.5); Яркость: 4730; Размер: 20; Тип: планета
Координаты: (122.5, 1276.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (23.0, 1276.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (31.5, 1276.0); Яркость: 2959; Размер: 12; Тип: планета
Координаты: (272.5, 1272.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (139.0, 1268.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (106.0, 1269.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (224.5, 1266.5); Яркость: 2290; Размер: 9; Тип: планета
Координаты: (265.0, 1265.0); Яркость: 1007; Размер: 4; Тип: планета
Координаты: (304.5, 1261.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (2047.0, 1261.0); Яркость: 3961; Размер: 16; Тип: планета
Координаты: (215.5, 1261.5); Яркость: 5882; Размер: 25; Тип: звезда
Координаты: (242.0, 1259.0); Яркость: 21264; Размер: 112; Тип: звезда
Координаты: (258.5, 1255.0); Яркость: 1523; Размер: 6; Тип: планета
Координаты: (239.5, 1252.5); Яркость: 234; Размер: 1; Тип: планета
Координаты: (176.0, 1252.5); Яркость: 1530; Размер: 6; Тип: планета
