Координаты: (2246.0, 1578.5); Яркость: 1510; Размер: 6; Тип: планета
Координаты: (100.5, 1256.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1816.5, 1249.5); Яркость: 6186; Размер: 25; Тип: звезда
Координаты: (2067.5, 1167.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2061.5, 1126.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (227.5, 1121.5); Яркость: 2292; Размер: 9; Тип: планета
Координаты: (1919.5, 1065.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1602.5, 1049.0); Яркость: 5034; Размер: 20; Тип: планета
Координаты: (1778.5, 1035.0); Яркость: 16388; Размер: 72; Тип: звезда
Координаты: (1792.5, 1018.0); Яркость: 1415; Размер: 6; Тип: планета
Координаты: (1708.0, 1002.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1108.5, 998.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1221.5, 985.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2082.5, 976.0); Яркость: 3010; Размер: 12; Тип: планета
Координаты: (1263.5, 972.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1534.0, 962.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1808.0, 956.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (2000.5, 928.5); Яркость: 11131; Размер: 49; Тип: звезда
Координаты: (1463.5, 922.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1813.0, 908.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1043.0, 908.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1420.0, 908.5); Яркость: 3055; Размер: 12; Тип: планета
Координаты: (1521.0, 873.0); Яркость: 1010; Размер: 4; Тип: планета
Координаты: (1893.5, 871.5); Яркость: 2272; Размер: 9; Тип: планета
Координаты: (1778.5, 867.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1796.0, 859.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2225.5, 856.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2052.5, 846.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1861.0, 839.5); Яркость: 492; Размер: 2; Тип: планета
Координаты: (1573.5, 837.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1532.0, 831.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2171.5, 829.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (1739.5, 822.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1545.5, 818.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2143.5, 803.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1441.5, 800.0); Яркость: 4637; Размер: 20; Тип: планета
Координаты: (732.5, 796.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (616.0, 794.5); Яркость: 1487; Размер: 6; Тип: планета
Координаты: (1854.5, 773.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2153.5, 765.5); Яркость: 2125; Размер: 9; Тип: планета
Координаты: (1479.5, 749.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2015.5, 738.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1437.5, 731.0); Яркость: 1473; Размер: 6; Тип: планета
Координаты: (1070.0, 731.0); Яркость: 1007; Размер: 4; Тип: планета
Координаты: (1687.0, 730.5); Яркость: 7266; Размер: 30; Тип: звезда
Координаты: (1353.5, 717.5); Яркость: 5997; Размер: 25; Тип: звезда
Координаты: (2277.5, 712.5); Яркость: 253; Размер: 1; Тип: планета
Координаты: (1196.5, 712.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1782.5, 701.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1107.5, 701.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1793.0, 692.5); Яркость: 5070; Размер: 20; Тип: планета
Координаты: (1349.0, 696.0); Яркость: 32423; Размер: 144; Тип: звезда
Координаты: (1760.5, 686.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (936.0, 686.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (879.5, 685.5); Яркость: 2258; Размер: 9; Тип: планета
Координаты: (606.0, 681.0); Яркость: 1009; Размер: 4; Тип: планета
Координаты: (1729.0, 676.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1988.5, 674.5); Яркость: 5935; Размер: 25; Тип: звезда
Координаты: (1867.5, 671.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2125.5, 665.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1956.0, 654.5); Яркость: 1494; Размер: 6; Тип: планета
Координаты: (1924.5, 654.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1962.5, 648.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1171.5, 648.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1761.0, 648.0); Яркость: 1019; Размер: 4; Тип: планета
Координаты: (1996.5, 646.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1322.5, 640.5); Яркость: 255; Размер: 1; Тип: планета
