Координаты: (1366.0, 1591.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (772.5, 1584.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (1589.0, 1577.0); Яркость: 14908; Размер: 64; Тип: звезда
Координаты: (1871.0, 1546.5); Яркость: 3005; Размер: 12; Тип: планета
Координаты: (1082.0, 1539.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (393.0, 1533.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2129.5, 1500.5); Яркость: 2237; Размер: 9; Тип: планета
Координаты: (2260.0, 1491.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (438.5, 1477.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (1587.5, 1476.0); Яркость: 495; Размер: 2; Тип: планета
Координаты: (433.5, 1475.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2073.0, 1467.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1516.5, 1453.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1522.0, 1452.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (308.5, 1446.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1388.5, 1393.5); Яркость: 2293; Размер: 9; Тип: планета
Координаты: (1990.5, 1381.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (286.0, 1367.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (1606.0, 1352.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (329.5, 1352.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1500.0, 1334.0); Яркость: 1007; Размер: 4; Тип: планета
Координаты: (2100.5, 1310.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (313.5, 1303.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1772.0, 1298.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (2144.0, 1297.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (2211.5, 1283.0); Яркость: 3060; Размер: 12; Тип: планета
Координаты: (7.0, 1280.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1870.0, 1276.5); Яркость: 505; Размер: 2; Тип: планета
Координаты: (1587.0, 1272.0); Яркость: 993; Размер: 4; Тип: планета
Координаты: (1598.5, 1251.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1716.5, 1239.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1604.5, 1220.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1448.5, 1218.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1342.5, 1217.0); Яркость: 1529; Размер: 6; Тип: планета
Координаты: (1333.0, 1206.0); Яркость: 1009; Размер: 4; Тип: планета
Координаты: (1467.5, 1205.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1868.0, 1200.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1422.5, 1198.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (735.5, 1196.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1437.0, 1185.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (2037.0, 1169.0); Яркость: 1020; Размер: 4; Тип: планета
