Координаты: (281.5, 1425.0); Яркость: 3060; Размер: 12; Тип: планета
Координаты: (44.0, 1401.0); Яркость: 3948; Размер: 16; Тип: планета
Координаты: (43.0, 1369.0); Яркость: 982; Размер: 4; Тип: планета
Координаты: (1446.5, 1328.0); Яркость: 13084; Размер: 56; Тип: звезда
Координаты: (98.0, 1230.5); Яркость: 2921; Размер: 12; Тип: планета
Координаты: (458.0, 1182.0); Яркость: 10726; Размер: 48; Тип: звезда
Координаты: (2267.5, 1164.0); Яркость: 439; Размер: 2; Тип: планета
Координаты: (1962.5, 1136.5); Яркость: 2276; Размер: 9; Тип: планета
Координаты: (1945.5, 1131.5); Яркость: 2285; Размер: 9; Тип: планета
Координаты: (259.5, 1124.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (14.5, 1091.5); Яркость: 2273; Размер: 9; Тип: планета
Координаты: (150.5, 1010.0); Яркость: 465; Размер: 2; Тип: планета
Координаты: (1437.0, 882.5); Яркость: 2933; Размер: 12; Тип: планета
Координаты: (2.5, 834.5); Яркость: 5383; Размер: 25; Тип: планета
Координаты: (519.0, 697.5); Яркость: 1515; Размер: 6; Тип: планета
Координаты: (1107.5, 688.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1318.0, 629.0); Яркость: 4076; Размер: 16; Тип: планета
Координаты: (83.0, 604.0); Яркость: 991; Размер: 4; Тип: планета
Координаты: (66.0, 603.0); Яркость: 3940; Размер: 16; Тип: планета
Координаты: (26.0, 598.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (150.5, 570.5); Яркость: 7729; Размер: 35; Тип: звезда
Координаты: (18.0, 554.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (66.0, 524.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (384.5, 424.0); Яркость: 486; Размер: 2; Тип: планета
Координаты: (141.0, 405.0); Яркость: 1019; Размер: 4; Тип: планета
Координаты: (27.0, 404.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (70.5, 400.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2090.0, 400.0); Яркость: 3981; Размер: 16; Тип: планета
Координаты: (121.5, 397.5); Яркость: 224; Размер: 1; Тип: планета
Координаты: (264.5, 377.5); Яркость: 5990; Размер: 25; Тип: звезда
Координаты: (15.0, 372.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (22.5, 346.0); Яркость: 2668; Размер: 12; Тип: планета
Координаты: (18.0, 343.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (293.5, 340.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (27.5, 341.5); Яркость: 3602; Размер: 15; Тип: планета
Координаты: (14.5, 329.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (349.0, 328.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (316.5, 322.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (260.5, 265.5); Яркость: 2250; Размер: 9; Тип: планета
Координаты: (707.5, 254.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (297.0, 246.5); Яркость: 9354; Размер: 42; Тип: звезда
Координаты: (76.0, 232.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (9.5, 228.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (109.0, 227.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (39.5, 228.5); Яркость: 5164; Размер: 25; Тип: планета
Координаты: (14.0, 223.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (80.0, 222.0); Яркость: 985; Размер: 4; Тип: планета
Координаты: (654.0, 219.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (85.5, 220.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (89.5, 216.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (4.5, 211.5); Яркость: 2282; Размер: 9; Тип: планета
Координаты: (140.0, 198.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (142.5, 181.5); Яркость: 248; Размер: 1; Тип: планета
Координаты: (141.5, 179.5); Яркость: 238; Размер: 1; Тип: планета
Координаты: (502.5, 177.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (84.0, 164.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (81.5, 129.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (572.0, 126.0); Яркость: 1005; Размер: 4; Тип: планета
Координаты: (362.0, 114.0); Яркость: 3691; Размер: 16; Тип: планета
Координаты: (58.0, 110.5); Яркость: 4927; Размер: 20; Тип: звезда
Координаты: (72.5, 105.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (171.0, 95.0); Яркость: 1009; Размер: 4; Тип: планета
Координаты: (415.0, 80.5); Яркость: 3030; Размер: 12; Тип: планета
Координаты: (101.0, 77.0); Яркость: 1019; Размер: 4; Тип: планета
Координаты: (180.0, 64.0); Яркость: 2040; Размер: 8; Тип: планета
Координаты: (14.5, 48.5); Яркость: 2294; Размер: 9; Тип: планета
Координаты: (342.5, 38.0); Яркость: 1527; Размер: 6; Тип: планета
Координаты: (17.5, 13.5); Яркость: 255; Размер: 1; Тип: планета
