Координаты: (2120.0, 1592.5); Яркость: 3059; Размер: 12; Тип: планета
Координаты: (2291.0, 1586.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2096.5, 1583.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1829.0, 1584.0); Яркость: 3914; Размер: 16; Тип: планета
Координаты: (1852.0, 1582.5); Яркость: 1519; Размер: 6; Тип: планета
Координаты: (1500.0, 1582.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1288.5, 1575.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1697.5, 1575.0); Яркость: 1507; Размер: 6; Тип: планета
Координаты: (501.5, 1566.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1803.5, 1566.5); Яркость: 2268; Размер: 9; Тип: планета
Координаты: (1639.0, 1561.0); Яркость: 3890; Размер: 16; Тип: планета
Координаты: (2290.5, 1553.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (2248.0, 1551.5); Яркость: 2651; Размер: 12; Тип: планета
Координаты: (1304.0, 1541.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1283.5, 1528.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1177.5, 1523.5); Яркость: 2275; Размер: 9; Тип: планета
Координаты: (1004.0, 1519.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1712.5, 1515.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1542.0, 1516.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1188.5, 1514.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1360.0, 1511.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1757.5, 1510.0); Яркость: 1495; Размер: 6; Тип: планета
Координаты: (1291.5, 1507.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2268.5, 1506.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2258.5, 1502.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (903.5, 1497.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1241.5, 1496.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (201.5, 1496.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (198.5, 1492.0); Яркость: 2432; Размер: 10; Тип: планета
Координаты: (2210.0, 1489.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1102.5, 1490.0); Яркость: 1501; Размер: 6; Тип: планета
Координаты: (541.5, 1489.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1366.0, 1485.5); Яркость: 3030; Размер: 12; Тип: планета
Координаты: (2189.5, 1483.5); Яркость: 2228; Размер: 9; Тип: планета
Координаты: (1852.5, 1483.5); Яркость: 2286; Размер: 9; Тип: планета
Координаты: (1783.5, 1480.0); Яркость: 1483; Размер: 6; Тип: планета
Координаты: (1120.5, 1475.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2190.5, 1475.5); Яркость: 3777; Размер: 15; Тип: планета
Координаты: (955.5, 1471.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1074.5, 1467.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2256.5, 1466.0); Яркость: 508; Размер: 2; Тип: планета
Координаты: (1632.0, 1464.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (350.0, 1464.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1797.5, 1461.5); Яркость: 2239; Размер: 9; Тип: планета
Координаты: (934.0, 1465.5); Яркость: 39440; Размер: 182; Тип: звезда
Координаты: (453.5, 1457.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1784.5, 1448.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2251.5, 1447.5); Яркость: 2138; Размер: 9; Тип: планета
Координаты: (109.5, 1443.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (586.5, 1438.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1620.0, 1437.0); Яркость: 933; Размер: 4; Тип: планета
Координаты: (97.0, 1434.5); Яркость: 494; Размер: 2; Тип: планета
Координаты: (1847.0, 1429.5); Яркость: 500; Размер: 2; Тип: планета
Координаты: (1706.0, 1426.0); Яркость: 1002; Размер: 4; Тип: планета
Координаты: (2215.5, 1424.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1598.5, 1423.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1718.5, 1422.5); Яркость: 2244; Размер: 9; Тип: планета
Координаты: (1114.0, 1417.0); Яркость: 1015; Размер: 4; Тип: планета
Координаты: (2167.5, 1412.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1612.5, 1404.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (1344.5, 1401.0); Яркость: 1435; Размер: 6; Тип: планета
