Координаты: (2189.5, 1593.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2144.0, 1593.5); Яркость: 483; Размер: 2; Тип: планета
Координаты: (1870.0, 1593.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2223.0, 1593.0); Яркость: 1009; Размер: 4; Тип: планета
Координаты: (2120.0, 1593.0); Яркость: 991; Размер: 4; Тип: планета
Координаты: (2083.0, 1593.0); Яркость: 1719; Размер: 8; Тип: планета
Координаты: (1485.5, 1593.0); Яркость: 1448; Размер: 6; Тип: планета
Координаты: (1037.0, 1593.0); Яркость: 1009; Размер: 4; Тип: планета
Координаты: (2216.0, 1592.5); Яркость: 1385; Размер: 6; Тип: планета
Координаты: (2104.0, 1592.0); Яркость: 1003; Размер: 4; Тип: планета
Координаты: (2074.0, 1591.0); Яркость: 1019; Размер: 4; Тип: планета
Координаты: (2000.5, 1592.0); Яркость: 4737; Размер: 20; Тип: звезда
Координаты: (2196.0, 1590.5); Яркость: 1411; Размер: 6; Тип: планета
Координаты: (2162.5, 1589.5); Яркость: 253; Размер: 1; Тип: планета
Координаты: (2056.0, 1590.0); Яркость: 928; Размер: 4; Тип: планета
Координаты: (1224.0, 1589.5); Яркость: 508; Размер: 2; Тип: планета
Координаты: (1203.0, 1589.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (593.5, 1589.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2248.0, 1588.5); Яркость: 499; Размер: 2; Тип: планета
Координаты: (2242.5, 1589.0); Яркость: 1455; Размер: 6; Тип: планета
Координаты: (2207.5, 1589.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2137.5, 1590.0); Яркость: 2544; Размер: 12; Тип: планета
Координаты: (2229.0, 1587.0); Яркость: 902; Размер: 4; Тип: планета
Координаты: (2176.0, 1587.5); Яркость: 1336; Размер: 6; Тип: планета
Координаты: (2089.5, 1587.5); Яркость: 2071; Размер: 9; Тип: планета
Координаты: (2056.5, 1587.0); Яркость: 500; Размер: 2; Тип: планета
Координаты: (1690.5, 1586.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2244.5, 1585.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2224.5, 1586.5); Яркость: 2168; Размер: 9; Тип: планета
Координаты: (2191.5, 1588.0); Яркость: 6307; Размер: 30; Тип: планета
Координаты: (2140.5, 1585.5); Яркость: 214; Размер: 1; Тип: планета
Координаты: (1014.5, 1585.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2202.0, 1584.5); Яркость: 490; Размер: 2; Тип: планета
Координаты: (2159.5, 1587.0); Яркость: 6283; Размер: 30; Тип: планета
Координаты: (2124.5, 1584.5); Яркость: 246; Размер: 1; Тип: планета
Координаты: (2079.5, 1584.5); Яркость: 248; Размер: 1; Тип: планета
Координаты: (2104.0, 1583.5); Яркость: 1280; Размер: 6; Тип: планета
Координаты: (1655.5, 1584.0); Яркость: 2950; Размер: 12; Тип: планета
Координаты: (1631.5, 1583.5); Яркость: 2272; Размер: 9; Тип: планета
Координаты: (2280.5, 1581.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2125.5, 1581.5); Яркость: 221; Размер: 1; Тип: планета
Координаты: (691.5, 1581.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2233.0, 1581.0); Яркость: 998; Размер: 4; Тип: планета
Координаты: (2221.0, 1581.5); Яркость: 1368; Размер: 6; Тип: планета
Координаты: (2210.0, 1581.5); Яркость: 2672; Размер: 12; Тип: планета
Координаты: (2128.5, 1581.5); Яркость: 1921; Размер: 9; Тип: планета
Координаты: (2099.5, 1580.5); Яркость: 235; Размер: 1; Тип: планета
Координаты: (2054.5, 1580.5); Яркость: 245; Размер: 1; Тип: планета
Координаты: (885.0, 1580.5); Яркость: 506; Размер: 2; Тип: планета
Координаты: (2140.5, 1579.5); Яркость: 239; Размер: 1; Тип: планета
Координаты: (1348.5, 1580.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2266.0, 1582.5); Яркость: 14171; Размер: 72; Тип: звезда
Координаты: (2226.5, 1579.5); Яркость: 2067; Размер: 9; Тип: планета
