Координаты: (1416.0, 1593.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2253.5, 1592.5); Яркость: 2190; Размер: 9; Тип: планета
Координаты: (384.0, 1588.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (2233.5, 1583.5); Яркость: 2216; Размер: 9; Тип: планета
Координаты: (942.0, 1584.0); Яркость: 4027; Размер: 16; Тип: планета
Координаты: (484.5, 1582.5); Яркость: 250; Размер: 1; Тип: планета
Координаты: (1957.5, 1582.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (1084.5, 1581.5); Яркость: 234; Размер: 1; Тип: планета
Координаты: (2068.0, 1579.0); Яркость: 951; Размер: 4; Тип: планета
Координаты: (1150.5, 1577.0); Яркость: 1488; Размер: 6; Тип: планета
Координаты: (2064.5, 1576.0); Яркость: 1527; Размер: 6; Тип: планета
Координаты: (1405.5, 1572.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1722.5, 1569.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (1408.0, 1567.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (630.5, 1568.5); Яркость: 3565; Размер: 15; Тип: планета
Координаты: (2084.5, 1565.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1455.0, 1564.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (620.0, 1565.0); Яркость: 5741; Размер: 24; Тип: звезда
Координаты: (406.5, 1562.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (658.0, 1561.0); Яркость: 1010; Размер: 4; Тип: планета
Координаты: (2068.0, 1564.0); Яркость: 18154; Размер: 80; Тип: звезда
Координаты: (1564.5, 1557.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1453.0, 1557.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1199.5, 1555.0); Яркость: 502; Размер: 2; Тип: планета
Координаты: (992.5, 1553.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (701.0, 1553.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (770.0, 1551.5); Яркость: 1507; Размер: 6; Тип: планета
Координаты: (738.0, 1550.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (653.0, 1552.5); Яркость: 6355; Размер: 28; Тип: звезда
Координаты: (1060.5, 1546.0); Яркость: 1525; Размер: 6; Тип: планета
Координаты: (1139.5, 1546.0); Яркость: 2987; Размер: 12; Тип: планета
Координаты: (1051.0, 1544.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (972.0, 1543.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (658.5, 1543.5); Яркость: 247; Размер: 1; Тип: планета
Координаты: (2203.5, 1543.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (2004.5, 1540.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (36.0, 1540.0); Яркость: 1000; Размер: 4; Тип: планета
Координаты: (211.0, 1540.0); Яркость: 3964; Размер: 16; Тип: планета
Координаты: (1050.0, 1537.0); Яркость: 1014; Размер: 4; Тип: планета
Координаты: (715.5, 1537.0); Яркость: 1504; Размер: 6; Тип: планета
Координаты: (267.5, 1535.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (92.5, 1535.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2024.0, 1533.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1505.5, 1527.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (708.0, 1528.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (202.5, 1527.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1698.5, 1526.5); Яркость: 5750; Размер: 25; Тип: звезда
Координаты: (780.5, 1524.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2072.5, 1524.5); Яркость: 2164; Размер: 9; Тип: планета
Координаты: (2287.5, 1522.5); Яркость: 2294; Размер: 9; Тип: планета
Координаты: (1012.5, 1519.5); Яркость: 2272; Размер: 9; Тип: планета
Координаты: (515.0, 1518.0); Яркость: 4050; Размер: 16; Тип: планета
Координаты: (1398.5, 1514.0); Яркость: 1517; Размер: 6; Тип: планета
Координаты: (1744.5, 1514.5); Яркость: 4741; Размер: 25; Тип: планета
Координаты: (1151.5, 1511.5); Яркость: 752; Размер: 3; Тип: планета
Координаты: (1019.0, 1512.0); Яркость: 1962; Размер: 8; Тип: планета
Координаты: (723.0, 1511.5); Яркость: 1526; Размер: 6; Тип: планета
Координаты: (224.0, 1512.0); Яркость: 3875; Размер: 16; Тип: планета
Координаты: (2247.5, 1510.0); Яркость: 1472; Размер: 6; Тип: планета
Координаты: (1991.5, 1510.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (234.5, 1509.5); Яркость: 254; Размер: 1; Тип: планета
Координаты: (195.0, 1510.0); Яркость: 1015; Размер: 4; Тип: планета
Координаты: (2135.5, 1508.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2199.5, 1505.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (328.5, 1504.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (201.0, 1504.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1154.0, 1504.5); Яркость: 4740; Размер: 20; Тип: планета
Координаты: (1046.0, 1503.5); Яркость: 1521; Размер: 6; Тип: планета
Координаты: (453.0, 1502.5); Яркость: 1520; Размер: 6; Тип: планета
Координаты: (319.5, 1499.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1150.0, 1499.0); Яркость: 977; Размер: 4; Тип: планета
Координаты: (2137.5, 1498.0); Яркость: 507; Размер: 2; Тип: планета
Координаты: (1469.0, 1499.5); Яркость: 12577; Размер: 56; Тип: звезда
Координаты: (1147.5, 1496.0); Яркость: 1514; Размер: 6; Тип: планета
Координаты: (1776.0, 1493.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (534.0, 1491.5); Яркость: 498; Размер: 2; Тип: планета
Координаты: (326.5, 1491.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2152.5, 1489.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (690.5, 1489.5); Яркость: 244; Размер: 1; Тип: планета
Координаты: (155.0, 1490.5); Яркость: 2967; Размер: 12; Тип: планета
Координаты: (1773.0, 1488.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (279.5, 1487.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2066.0, 1483.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1137.5, 1483.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (334.0, 1483.5); Яркость: 1504; Размер: 6; Тип: планета
Координаты: (2098.5, 1481.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (2228.5, 1479.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (180.5, 1479.5); Яркость: 2288; Размер: 9; Тип: планета
Координаты: (1010.5, 1477.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (917.5, 1477.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2139.5, 1477.5); Яркость: 2291; Размер: 9; Тип: планета
Координаты: (501.5, 1476.5); Яркость: 2264; Размер: 9; Тип: планета
Координаты: (2116.5, 1474.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2095.5, 1475.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2171.0, 1472.5); Яркость: 1518; Размер: 6; Тип: планета
Координаты: (653.0, 1472.5); Яркость: 4696; Размер: 20; Тип: планета
Координаты: (2146.0, 1469.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1012.5, 1470.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (1143.5, 1467.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (439.5, 1470.5); Яркость: 7558; Размер: 35; Тип: звезда
Координаты: (524.5, 1466.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2259.5, 1463.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1104.0, 1466.0); Яркость: 8350; Размер: 36; Тип: звезда
Координаты: (667.5, 1465.0); Яркость: 2965; Размер: 12; Тип: планета
Координаты: (1806.0, 1463.0); Яркость: 1012; Размер: 4; Тип: планета
Координаты: (52.5, 1460.5); Яркость: 2242; Размер: 9; Тип: планета
Координаты: (1418.5, 1459.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (838.5, 1459.0); Яркость: 1012; Размер: 4; Тип: планета
Координаты: (680.5, 1457.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (332.0, 1457.5); Яркость: 1471; Размер: 6; Тип: планета
Координаты: (120.0, 1454.5); Яркость: 1465; Размер: 6; Тип: планета
Координаты: (2103.5, 1453.5); Яркость: 2216; Размер: 9; Тип: планета
Координаты: (455.5, 1450.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2288.0, 1450.0); Яркость: 945; Размер: 4; Тип: планета
Координаты: (2281.5, 1450.5); Яркость: 2273; Размер: 9; Тип: планета
Координаты: (508.0, 1449.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (695.0, 1449.5); Яркость: 2956; Размер: 12; Тип: планета
Координаты: (1996.5, 1447.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (549.5, 1447.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (469.0, 1449.0); Яркость: 5787; Размер: 24; Тип: звезда
Координаты: (2274.0, 1446.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (2149.5, 1445.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2105.5, 1447.0); Яркость: 3042; Размер: 12; Тип: планета
Координаты: (2066.0, 1445.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (160.5, 1444.5); Яркость: 248; Размер: 1; Тип: планета
Координаты: (386.5, 1442.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1031.0, 1442.0); Яркость: 1001; Размер: 4; Тип: планета
Координаты: (532.5, 1445.0); Яркость: 10743; Размер: 56; Тип: звезда
Координаты: (158.5, 1440.0); Яркость: 508; Размер: 2; Тип: планета
Координаты: (2077.5, 1438.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (959.0, 1440.5); Яркость: 4899; Размер: 20; Тип: планета
Координаты: (756.5, 1438.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1967.0, 1439.0); Яркость: 4007; Размер: 16; Тип: планета
Координаты: (603.0, 1435.0); Яркость: 1011; Размер: 4; Тип: планета
Координаты: (237.5, 1433.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (156.0, 1433.0); Яркость: 1019; Размер: 4; Тип: планета
Координаты: (167.0, 1436.0); Яркость: 8372; Размер: 40; Тип: планета
Координаты: (1451.5, 1429.5); Яркость: 254; Размер: 1; Тип: планета
Координаты: (550.5, 1427.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (489.0, 1430.5); Яркость: 9688; Размер: 42; Тип: звезда
Координаты: (2208.5, 1426.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (904.0, 1427.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (563.5, 1427.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (370.5, 1427.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (162.0, 1427.0); Яркость: 920; Размер: 4; Тип: планета
Координаты: (798.0, 1427.0); Яркость: 3845; Размер: 16; Тип: планета
Координаты: (1109.0, 1427.5); Яркость: 8851; Размер: 42; Тип: звезда
Координаты: (2166.5, 1423.5); Яркость: 247; Размер: 1; Тип: планета
Координаты: (159.0, 1424.5); Яркость: 1454; Размер: 6; Тип: планета
Координаты: (2114.5, 1423.0); Яркость: 499; Размер: 2; Тип: планета
Координаты: (2096.0, 1423.0); Яркость: 1013; Размер: 4; Тип: планета
