Координаты: (979.0, 1593.0); Яркость: 2040; Размер: 8; Тип: планета
Координаты: (1759.5, 1590.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (888.0, 1590.0); Яркость: 1008; Размер: 4; Тип: планета
Координаты: (114.5, 1590.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1967.5, 1589.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (1701.5, 1588.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1003.0, 1586.5); Яркость: 1523; Размер: 6; Тип: планета
Координаты: (832.5, 1583.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1058.5, 1580.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (913.5, 1580.5); Яркость: 2270; Размер: 9; Тип: планета
Координаты: (1787.5, 1578.5); Яркость: 2279; Размер: 9; Тип: планета
Координаты: (897.5, 1579.0); Яркость: 2816; Размер: 12; Тип: планета
Координаты: (1745.5, 1576.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1730.5, 1574.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (2050.5, 1571.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1716.5, 1567.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (189.0, 1565.5); Яркость: 1496; Размер: 6; Тип: планета
Координаты: (2242.0, 1569.5); Яркость: 64229; Размер: 306; Тип: звезда
Координаты: (1543.0, 1561.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1805.5, 1558.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1022.5, 1558.0); Яркость: 1515; Размер: 6; Тип: планета
Координаты: (1459.5, 1552.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1988.5, 1551.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (1726.0, 1551.0); Яркость: 964; Размер: 4; Тип: планета
Координаты: (1763.0, 1550.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1422.5, 1551.0); Яркость: 4883; Размер: 20; Тип: планета
Координаты: (1927.5, 1547.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1919.5, 1548.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1735.0, 1546.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1052.0, 1547.5); Яркость: 2950; Размер: 12; Тип: планета
Координаты: (1713.5, 1546.0); Яркость: 3040; Размер: 12; Тип: планета
Координаты: (2261.0, 1544.0); Яркость: 1013; Размер: 4; Тип: планета
Координаты: (1957.5, 1543.5); Яркость: 255; Размер: 1; Тип: планета
