Координаты: (1457.0, 1591.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (2127.5, 1591.0); Яркость: 2832; Размер: 12; Тип: планета
Координаты: (2084.0, 1588.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1195.5, 1587.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1060.5, 1589.5); Яркость: 6011; Размер: 25; Тип: звезда
Координаты: (1210.0, 1586.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1346.0, 1587.0); Яркость: 4044; Размер: 16; Тип: планета
Координаты: (1354.0, 1575.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1212.5, 1575.5); Яркость: 2197; Размер: 9; Тип: планета
Координаты: (1544.5, 1537.0); Яркость: 1378; Размер: 6; Тип: планета
Координаты: (1342.5, 1533.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1975.0, 1531.0); Яркость: 1018; Размер: 4; Тип: планета
Координаты: (1537.5, 1522.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1501.5, 1512.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1540.5, 1512.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1473.0, 1511.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1514.5, 1507.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1477.5, 1509.0); Яркость: 4388; Размер: 20; Тип: планета
Координаты: (2238.0, 1507.0); Яркость: 8000; Размер: 36; Тип: звезда
Координаты: (1543.5, 1505.5); Яркость: 3383; Размер: 15; Тип: планета
Координаты: (1538.5, 1504.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1056.0, 1505.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1581.5, 1504.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2053.0, 1503.5); Яркость: 1497; Размер: 6; Тип: планета
Координаты: (1572.5, 1502.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2250.0, 1503.5); Яркость: 13066; Размер: 56; Тип: звезда
Координаты: (544.5, 1495.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2007.0, 1492.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1552.0, 1490.0); Яркость: 1013; Размер: 4; Тип: планета
