Координаты: (721.0, 517.5); Яркость: 1516; Размер: 6; Тип: планета
Координаты: (979.5, 516.0); Яркость: 505; Размер: 2; Тип: планета
Координаты: (1311.5, 512.0); Яркость: 2964; Размер: 12; Тип: планета
Координаты: (16.5, 509.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (688.5, 508.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1602.5, 504.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (5.5, 507.0); Яркость: 7232; Размер: 30; Тип: звезда
Координаты: (1837.5, 497.0); Яркость: 4865; Размер: 20; Тип: планета
Координаты: (2244.5, 494.5); Яркость: 3761; Размер: 15; Тип: планета
Координаты: (841.0, 486.0); Яркость: 1005; Размер: 4; Тип: планета
Координаты: (1827.5, 484.5); Яркость: 5772; Размер: 25; Тип: звезда
Координаты: (685.0, 483.0); Яркость: 997; Размер: 4; Тип: планета
Координаты: (2171.0, 481.5); Яркость: 498; Размер: 2; Тип: планета
Координаты: (906.0, 479.0); Яркость: 973; Размер: 4; Тип: планета
Координаты: (1839.0, 478.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (942.5, 472.0); Яркость: 509; Размер: 2; Тип: планета
Координаты: (1891.5, 468.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (704.0, 468.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1651.5, 464.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1661.0, 463.0); Яркость: 1014; Размер: 4; Тип: планета
Координаты: (947.5, 451.5); Яркость: 207; Размер: 1; Тип: планета
Координаты: (1774.5, 449.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1253.5, 445.5); Яркость: 5958; Размер: 25; Тип: звезда
Координаты: (1239.0, 443.0); Яркость: 1005; Размер: 4; Тип: планета
Координаты: (1854.5, 439.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1011.5, 436.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1100.5, 436.0); Яркость: 1514; Размер: 6; Тип: планета
Координаты: (893.5, 434.0); Яркость: 1016; Размер: 4; Тип: планета
Координаты: (947.5, 424.5); Яркость: 2222; Размер: 9; Тип: планета
Координаты: (1267.0, 418.0); Яркость: 999; Размер: 4; Тип: планета
Координаты: (691.5, 408.5); Яркость: 2109; Размер: 9; Тип: планета
Координаты: (1810.5, 404.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (541.0, 401.5); Яркость: 3032; Размер: 12; Тип: планета
Координаты: (1305.0, 405.0); Яркость: 46510; Размер: 224; Тип: звезда
Координаты: (1021.5, 393.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1254.5, 388.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (306.5, 386.5); Яркость: 252; Размер: 1; Тип: планета
Координаты: (816.0, 374.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (46.0, 375.5); Яркость: 5034; Размер: 20; Тип: звезда
Координаты: (2295.5, 369.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (655.0, 360.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1208.5, 359.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1858.5, 357.0); Яркость: 3042; Размер: 12; Тип: планета
Координаты: (1468.5, 354.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1296.5, 353.5); Яркость: 253; Размер: 1; Тип: планета
Координаты: (737.5, 340.0); Яркость: 2996; Размер: 12; Тип: планета
Координаты: (1747.0, 332.0); Яркость: 4080; Размер: 16; Тип: планета
Координаты: (1302.5, 329.5); Яркость: 255; Размер: 1; Тип: планета
