Координаты: (2155.0, 1571.0); Яркость: 1016; Размер: 4; Тип: планета
Координаты: (2090.5, 1538.5); Яркость: 2131; Размер: 9; Тип: планета
Координаты: (294.5, 1503.5); Яркость: 2239; Размер: 9; Тип: планета
Координаты: (1856.0, 1479.5); Яркость: 2945; Размер: 12; Тип: планета
Координаты: (308.5, 1462.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1480.5, 1442.5); Яркость: 2162; Размер: 9; Тип: планета
Координаты: (192.0, 1405.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (693.0, 1388.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (11.5, 1343.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (281.5, 1334.0); Яркость: 4930; Размер: 20; Тип: звезда
Координаты: (1822.5, 1310.5); Яркость: 238; Размер: 1; Тип: планета
Координаты: (1362.0, 1310.0); Яркость: 1851; Размер: 8; Тип: планета
Координаты: (492.0, 1300.0); Яркость: 3638; Размер: 16; Тип: планета
Координаты: (962.5, 1295.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (584.5, 1283.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (1499.5, 1269.5); Яркость: 2262; Размер: 9; Тип: планета
Координаты: (66.0, 1263.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (23.0, 1259.0); Яркость: 1011; Размер: 4; Тип: планета
Координаты: (1148.0, 1239.0); Яркость: 993; Размер: 4; Тип: планета
Координаты: (900.0, 1234.0); Яркость: 4048; Размер: 16; Тип: планета
Координаты: (624.5, 1206.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1996.5, 1201.0); Яркость: 494; Размер: 2; Тип: планета
Координаты: (106.5, 1201.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (66.0, 1199.0); Яркость: 1015; Размер: 4; Тип: планета
Координаты: (1541.5, 1184.5); Яркость: 2210; Размер: 9; Тип: планета
Координаты: (814.5, 1180.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1221.5, 1180.0); Яркость: 6887; Размер: 30; Тип: звезда
Координаты: (1501.5, 1172.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (875.0, 1173.0); Яркость: 1016; Размер: 4; Тип: планета
Координаты: (563.5, 1171.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (843.5, 1162.0); Яркость: 2909; Размер: 12; Тип: планета
Координаты: (789.5, 1156.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (849.0, 1155.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (821.5, 1151.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (848.0, 1150.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1051.5, 1150.5); Яркость: 2132; Размер: 9; Тип: планета
Координаты: (1020.5, 1150.0); Яркость: 1518; Размер: 6; Тип: планета
Координаты: (1027.5, 1142.5); Яркость: 5244; Размер: 25; Тип: планета
Координаты: (824.0, 1139.0); Яркость: 972; Размер: 4; Тип: планета
Координаты: (864.5, 1137.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (735.5, 1138.0); Яркость: 2873; Размер: 12; Тип: планета
Координаты: (794.5, 1135.5); Яркость: 227; Размер: 1; Тип: планета
Координаты: (790.0, 1133.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1001.5, 1131.5); Яркость: 2062; Размер: 9; Тип: планета
Координаты: (792.5, 1128.0); Яркость: 490; Размер: 2; Тип: планета
