Координаты: (1892.5, 1593.5); Яркость: 246; Размер: 1; Тип: планета
Координаты: (1849.0, 1593.5); Яркость: 451; Размер: 2; Тип: планета
Координаты: (1013.0, 1593.5); Яркость: 458; Размер: 2; Тип: планета
Координаты: (286.5, 1593.0); Яркость: 1466; Размер: 6; Тип: планета
Координаты: (1882.0, 1591.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1756.5, 1591.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1463.5, 1591.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2079.5, 1590.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1660.5, 1591.0); Яркость: 1506; Размер: 6; Тип: планета
Координаты: (1530.5, 1590.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1394.0, 1590.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (512.5, 1591.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1588.5, 1588.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (728.0, 1589.0); Яркость: 3968; Размер: 16; Тип: планета
Координаты: (1478.0, 1587.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (607.5, 1587.5); Яркость: 2185; Размер: 9; Тип: планета
Координаты: (1819.5, 1585.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1898.0, 1585.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1504.5, 1584.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1495.5, 1586.0); Яркость: 2811; Размер: 12; Тип: планета
Координаты: (1424.5, 1585.0); Яркость: 509; Размер: 2; Тип: планета
Координаты: (1616.0, 1584.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1483.5, 1583.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1608.5, 1583.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (530.0, 1584.0); Яркость: 3746; Размер: 16; Тип: планета
Координаты: (790.5, 1581.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (199.0, 1582.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1891.5, 1580.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (1653.5, 1579.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1470.0, 1579.0); Яркость: 973; Размер: 4; Тип: планета
Координаты: (1454.0, 1579.5); Яркость: 2864; Размер: 12; Тип: планета
Координаты: (1420.5, 1578.5); Яркость: 2289; Размер: 9; Тип: планета
Координаты: (657.0, 1577.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1464.0, 1576.5); Яркость: 1402; Размер: 6; Тип: планета
Координаты: (1090.0, 1576.5); Яркость: 1509; Размер: 6; Тип: планета
Координаты: (1025.5, 1576.5); Яркость: 2137; Размер: 9; Тип: планета
Координаты: (1589.5, 1575.5); Яркость: 2199; Размер: 9; Тип: планета
Координаты: (1664.0, 1574.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1524.5, 1575.5); Яркость: 5660; Размер: 25; Тип: звезда
Координаты: (1477.5, 1576.5); Яркость: 7560; Размер: 35; Тип: звезда
Координаты: (1093.0, 1574.5); Яркость: 1425; Размер: 6; Тип: планета
Координаты: (813.0, 1573.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (222.5, 1574.0); Яркость: 1491; Размер: 6; Тип: планета
Координаты: (1540.0, 1573.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1030.5, 1572.5); Яркость: 248; Размер: 1; Тип: планета
Координаты: (140.5, 1573.5); Яркость: 2186; Размер: 9; Тип: планета
Координаты: (736.5, 1571.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1863.5, 1569.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (785.0, 1571.5); Яркость: 4765; Размер: 20; Тип: звезда
Координаты: (555.5, 1569.5); Яркость: 2140; Размер: 9; Тип: планета
Координаты: (1859.0, 1568.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1544.5, 1567.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1503.5, 1568.5); Яркость: 2251; Размер: 9; Тип: планета
Координаты: (794.0, 1567.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (224.5, 1568.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1906.5, 1565.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (808.0, 1565.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1942.5, 1564.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (747.0, 1564.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1492.0, 1561.0); Яркость: 1987; Размер: 8; Тип: планета
Координаты: (1438.5, 1559.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (283.0, 1559.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1902.5, 1558.5); Яркость: 2287; Размер: 9; Тип: планета
Координаты: (1497.5, 1557.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1369.5, 1558.0); Яркость: 509; Размер: 2; Тип: планета
Координаты: (1563.0, 1558.5); Яркость: 4722; Размер: 20; Тип: планета
Координаты: (1523.0, 1556.0); Яркость: 990; Размер: 4; Тип: планета
Координаты: (1458.5, 1555.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1663.0, 1555.0); Яркость: 1003; Размер: 4; Тип: планета
Координаты: (1651.5, 1555.5); Яркость: 2277; Размер: 9; Тип: планета
Координаты: (1370.5, 1555.0); Яркость: 508; Размер: 2; Тип: планета
Координаты: (1377.5, 1553.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (648.5, 1553.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1092.5, 1553.5); Яркость: 2289; Размер: 9; Тип: планета
Координаты: (26.0, 1553.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1367.0, 1552.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1135.5, 1552.5); Яркость: 2279; Размер: 9; Тип: планета
Координаты: (1578.0, 1551.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1657.5, 1551.5); Яркость: 5307; Размер: 25; Тип: планета
Координаты: (584.0, 1549.0); Яркость: 1012; Размер: 4; Тип: планета
Координаты: (1559.5, 1547.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1544.0, 1548.0); Яркость: 3701; Размер: 16; Тип: планета
Координаты: (1540.5, 1546.5); Яркость: 239; Размер: 1; Тип: планета
Координаты: (1521.0, 1547.5); Яркость: 2995; Размер: 12; Тип: планета
Координаты: (615.0, 1546.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (706.5, 1545.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (273.0, 1545.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1121.0, 1545.0); Яркость: 987; Размер: 4; Тип: планета
Координаты: (603.0, 1545.0); Яркость: 960; Размер: 4; Тип: планета
