Координаты: (2099.5, 1593.0); Яркость: 1493; Размер: 6; Тип: планета
Координаты: (2076.0, 1592.5); Яркость: 2823; Размер: 12; Тип: планета
Координаты: (2094.5, 1591.0); Яркость: 509; Размер: 2; Тип: планета
Координаты: (2088.0, 1591.5); Яркость: 5857; Размер: 30; Тип: планета
Координаты: (2079.5, 1588.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2085.5, 1583.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2038.5, 1583.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2110.5, 1577.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1834.5, 1577.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2089.0, 1576.5); Яркость: 508; Размер: 2; Тип: планета
Координаты: (1907.5, 1578.0); Яркость: 3056; Размер: 12; Тип: планета
Координаты: (2095.5, 1578.0); Яркость: 4108; Размер: 18; Тип: планета
Координаты: (2100.5, 1574.0); Яркость: 505; Размер: 2; Тип: планета
Координаты: (1815.0, 1574.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (2207.0, 1569.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (2287.5, 1568.5); Яркость: 2227; Размер: 9; Тип: планета
Координаты: (1341.0, 1566.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2088.5, 1564.5); Яркость: 253; Размер: 1; Тип: планета
Координаты: (1811.0, 1564.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (2295.0, 1563.0); Яркость: 949; Размер: 4; Тип: планета
Координаты: (2118.0, 1563.0); Яркость: 985; Размер: 4; Тип: планета
Координаты: (2009.0, 1559.0); Яркость: 1010; Размер: 4; Тип: планета
Координаты: (1597.5, 1558.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2120.5, 1558.0); Яркость: 506; Размер: 2; Тип: планета
Координаты: (2106.0, 1551.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (2087.5, 1551.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (2003.0, 1551.0); Яркость: 1961; Размер: 8; Тип: планета
Координаты: (2122.5, 1548.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2270.5, 1548.0); Яркость: 498; Размер: 2; Тип: планета
Координаты: (1950.0, 1546.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2037.0, 1545.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1632.5, 1545.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1985.5, 1543.5); Яркость: 3445; Размер: 15; Тип: планета
Координаты: (2133.0, 1536.0); Яркость: 992; Размер: 4; Тип: планета
Координаты: (1927.0, 1534.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1915.0, 1527.5); Яркость: 505; Размер: 2; Тип: планета
Координаты: (1960.0, 1525.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (2279.0, 1524.0); Яркость: 1016; Размер: 4; Тип: планета
Координаты: (715.5, 1519.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2223.0, 1511.0); Яркость: 3748; Размер: 16; Тип: планета
Координаты: (2172.0, 1505.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (2074.0, 1498.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1020.5, 1494.5); Яркость: 2283; Размер: 9; Тип: планета
Координаты: (2226.0, 1474.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (354.5, 1471.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2121.0, 1472.0); Яркость: 4079; Размер: 16; Тип: планета
Координаты: (683.5, 1466.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1847.5, 1465.5); Яркость: 255; Размер: 1; Тип: планета
