Координаты: (638.0, 1593.5); Яркость: 452; Размер: 2; Тип: планета
Координаты: (2101.0, 1591.0); Яркость: 983; Размер: 4; Тип: планета
Координаты: (647.5, 1592.0); Яркость: 2663; Размер: 12; Тип: планета
Координаты: (2100.5, 1587.5); Яркость: 754; Размер: 3; Тип: планета
Координаты: (592.0, 1585.5); Яркость: 1521; Размер: 6; Тип: планета
Координаты: (686.0, 1582.5); Яркость: 4898; Размер: 20; Тип: звезда
Координаты: (298.5, 1576.5); Яркость: 252; Размер: 1; Тип: планета
Координаты: (351.0, 1575.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (265.5, 1569.5); Яркость: 2291; Размер: 9; Тип: планета
Координаты: (199.5, 1568.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1428.0, 1568.5); Яркость: 1524; Размер: 6; Тип: планета
Координаты: (90.0, 1569.5); Яркость: 10661; Размер: 56; Тип: звезда
Координаты: (376.5, 1565.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (831.5, 1564.0); Яркость: 2981; Размер: 12; Тип: планета
Координаты: (450.5, 1558.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (341.0, 1557.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1116.5, 1556.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1508.0, 1553.5); Яркость: 1509; Размер: 6; Тип: планета
Координаты: (351.5, 1550.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (661.0, 1549.0); Яркость: 1990; Размер: 8; Тип: планета
Координаты: (147.5, 1547.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (40.0, 1546.0); Яркость: 1013; Размер: 4; Тип: планета
Координаты: (989.0, 1541.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (617.5, 1540.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (167.0, 1540.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1020.5, 1533.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1092.5, 1533.0); Яркость: 1528; Размер: 6; Тип: планета
Координаты: (1489.5, 1531.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1016.0, 1531.5); Яркость: 497; Размер: 2; Тип: планета
Координаты: (29.0, 1532.0); Яркость: 1011; Размер: 4; Тип: планета
Координаты: (104.5, 1529.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1007.0, 1530.5); Яркость: 2467; Размер: 10; Тип: планета
Координаты: (1021.0, 1526.5); Яркость: 509; Размер: 2; Тип: планета
Координаты: (214.0, 1526.5); Яркость: 1407; Размер: 6; Тип: планета
Координаты: (103.0, 1525.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1062.5, 1522.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (55.5, 1522.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (771.0, 1518.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (654.5, 1516.5); Яркость: 253; Размер: 1; Тип: планета
Координаты: (583.0, 1519.5); Яркость: 11160; Размер: 54; Тип: звезда
