Координаты: (1203.5, 1593.5); Яркость: 253; Размер: 1; Тип: планета
Координаты: (1201.0, 1593.5); Яркость: 424; Размер: 2; Тип: планета
Координаты: (651.0, 1593.5); Яркость: 498; Размер: 2; Тип: планета
Координаты: (1079.5, 1593.0); Яркость: 1484; Размер: 6; Тип: планета
Координаты: (982.0, 1593.0); Яркость: 1952; Размер: 8; Тип: планета
Координаты: (994.0, 1592.5); Яркость: 1424; Размер: 6; Тип: планета
Координаты: (764.5, 1591.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (294.0, 1591.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (115.0, 1592.0); Яркость: 993; Размер: 4; Тип: планета
Координаты: (191.5, 1591.5); Яркость: 2294; Размер: 9; Тип: планета
Координаты: (987.0, 1591.5); Яркость: 4133; Размер: 20; Тип: планета
Координаты: (172.0, 1590.0); Яркость: 5500; Размер: 24; Тип: звезда
Координаты: (152.5, 1589.0); Яркость: 485; Размер: 2; Тип: планета
Координаты: (1074.5, 1588.5); Яркость: 765; Размер: 3; Тип: планета
Координаты: (200.0, 1588.5); Яркость: 1517; Размер: 6; Тип: планета
Координаты: (228.5, 1587.0); Яркость: 2336; Размер: 10; Тип: планета
Координаты: (186.0, 1587.0); Яркость: 1010; Размер: 4; Тип: планета
Координаты: (146.0, 1590.0); Яркость: 9792; Размер: 48; Тип: звезда
Координаты: (131.0, 1590.0); Яркость: 36271; Размер: 176; Тип: звезда
Координаты: (1313.0, 1586.0); Яркость: 1007; Размер: 4; Тип: планета
Координаты: (1300.5, 1585.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1261.5, 1584.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1258.5, 1584.5); Яркость: 254; Размер: 1; Тип: планета
Координаты: (1192.5, 1584.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (569.0, 1585.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (376.5, 1584.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (169.5, 1584.5); Яркость: 221; Размер: 1; Тип: планета
Координаты: (121.0, 1585.0); Яркость: 922; Размер: 4; Тип: планета
Координаты: (1308.5, 1583.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (917.5, 1585.0); Яркость: 4226; Размер: 20; Тип: планета
Координаты: (274.5, 1583.5); Яркость: 254; Размер: 1; Тип: планета
Координаты: (152.5, 1583.5); Яркость: 254; Размер: 1; Тип: планета
Координаты: (2.5, 1583.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1084.0, 1587.0); Яркость: 28503; Размер: 140; Тип: звезда
Координаты: (1065.5, 1583.0); Яркость: 494; Размер: 2; Тип: планета
Координаты: (1057.5, 1583.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (694.0, 1583.0); Яркость: 1007; Размер: 4; Тип: планета
Координаты: (173.0, 1584.0); Яркость: 3439; Размер: 16; Тип: планета
Координаты: (865.5, 1582.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (125.0, 1583.0); Яркость: 3454; Размер: 16; Тип: планета
Координаты: (998.0, 1581.5); Яркость: 1527; Размер: 6; Тип: планета
Координаты: (956.5, 1580.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (215.0, 1581.0); Яркость: 985; Размер: 4; Тип: планета
Координаты: (341.5, 1580.0); Яркость: 1336; Размер: 6; Тип: планета
Координаты: (286.5, 1579.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (132.0, 1579.5); Яркость: 464; Размер: 2; Тип: планета
Координаты: (1075.5, 1580.5); Яркость: 8198; Размер: 35; Тип: звезда
Координаты: (854.5, 1578.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (546.0, 1580.0); Яркость: 3738; Размер: 16; Тип: планета
Координаты: (210.0, 1582.5); Яркость: 14265; Размер: 72; Тип: звезда
Координаты: (14.5, 1578.5); Яркость: 252; Размер: 1; Тип: планета
Координаты: (230.5, 1578.5); Яркость: 2041; Размер: 9; Тип: планета
Координаты: (138.0, 1580.5); Яркость: 8243; Размер: 42; Тип: планета
Координаты: (23.0, 1578.0); Яркость: 1018; Размер: 4; Тип: планета
Координаты: (27.5, 1576.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (171.5, 1577.0); Яркость: 2750; Размер: 12; Тип: планета
Координаты: (135.5, 1575.5); Яркость: 248; Размер: 1; Тип: планета
Координаты: (91.5, 1575.5); Яркость: 251; Размер: 1; Тип: планета
Координаты: (69.5, 1576.5); Яркость: 2192; Размер: 9; Тип: планета
Координаты: (5.5, 1575.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (392.5, 1574.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (222.0, 1574.5); Яркость: 500; Размер: 2; Тип: планета
Координаты: (13.5, 1573.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (389.0, 1573.5); Яркость: 2835; Размер: 12; Тип: планета
Координаты: (166.5, 1574.0); Яркость: 2802; Размер: 12; Тип: планета
Координаты: (77.5, 1574.5); Яркость: 3369; Размер: 15; Тип: планета
Координаты: (212.0, 1572.0); Яркость: 907; Размер: 4; Тип: планета
Координаты: (160.0, 1582.5); Яркость: 74469; Размер: 368; Тип: звезда
Координаты: (128.0, 1573.5); Яркость: 4474; Размер: 20; Тип: планета
Координаты: (203.0, 1571.0); Яркость: 956; Размер: 4; Тип: планета
Координаты: (149.0, 1571.0); Яркость: 1005; Размер: 4; Тип: планета
Координаты: (1.0, 1571.0); Яркость: 864; Размер: 4; Тип: планета
Координаты: (226.0, 1570.0); Яркость: 1002; Размер: 4; Тип: планета
Координаты: (194.5, 1570.5); Яркость: 2106; Размер: 9; Тип: планета
Координаты: (181.5, 1570.5); Яркость: 2056; Размер: 9; Тип: планета
Координаты: (159.5, 1571.0); Яркость: 2624; Размер: 12; Тип: планета
Координаты: (19.0, 1571.0); Яркость: 1946; Размер: 8; Тип: планета
Координаты: (233.0, 1568.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (171.0, 1569.0); Яркость: 991; Размер: 4; Тип: планета
Координаты: (455.0, 1567.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (140.0, 1570.5); Яркость: 6130; Размер: 28; Тип: планета
Координаты: (131.0, 1568.5); Яркость: 5535; Размер: 24; Тип: звезда
Координаты: (101.5, 1570.5); Яркость: 7868; Размер: 35; Тип: звезда
Координаты: (106.5, 1566.5); Яркость: 229; Размер: 1; Тип: планета
Координаты: (1517.0, 1567.5); Яркость: 4648; Размер: 20; Тип: звезда
Координаты: (464.0, 1566.0); Яркость: 974; Размер: 4; Тип: планета
Координаты: (429.0, 1565.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (160.5, 1565.5); Яркость: 241; Размер: 1; Тип: планета
Координаты: (28.5, 1572.0); Яркость: 30202; Размер: 154; Тип: звезда
Координаты: (450.0, 1566.0); Яркость: 2016; Размер: 8; Тип: планета
Координаты: (207.0, 1564.5); Яркость: 466; Размер: 2; Тип: планета
Координаты: (58.5, 1566.0); Яркость: 4457; Размер: 20; Тип: планета
Координаты: (36.5, 1565.5); Яркость: 2154; Размер: 9; Тип: планета
Координаты: (174.0, 1564.0); Яркость: 959; Размер: 4; Тип: планета
Координаты: (168.0, 1565.0); Яркость: 3742; Размер: 16; Тип: планета
Координаты: (149.5, 1564.0); Яркость: 1355; Размер: 6; Тип: планета
Координаты: (1170.0, 1563.0); Яркость: 1020; Размер: 4; Тип: планета
